Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018,Priority School District_FY 2017,Priority School District_FY 2018
Salem," 47,337 ",0, 0 ,0," 18,219 ",0," 4,450 "," 4,126 "," 3,049,314 "," 914,794 "," 85,617 ",0, 0 ,0,0, 0 ," 3,204,937 "," 918,920 ",,0
Salisbury, 108 ,0, 0 ,0," 9,066 ",0, 0 , 0 ," 10,871 ", 0 ," 20,769 ",0, 0 ,0,0, 0 ," 40,814 ", 0 ,,0
Scotland," 16,880 ",0, 0 ,0," 15,714 ",0," 1,806 "," 1,746 "," 1,423,001 "," 426,900 "," 36,200 ",0, 0 ,0,0, 0 ," 1,493,601 "," 428,646 ",,0
Seymour, 0 ,0, 0 ,0," 67,844 ",0," 75,988 "," 75,666 "," 10,040,987 "," 2,008,197 "," 343,388 ",0, 0 ,0,0, 0 ," 10,528,207 "," 2,083,863 ",,0
Sharon, 0 ,0, 0 ,0," 9,111 ",0, 0 , 0 ," 9,960 ", 0 ," 19,467 ",0, 0 ,0,0, 0 ," 38,538 ", 0 ,,0
Shelton, 344 ,0, 0 ,0," 74,849 ",0," 37,518 "," 37,740 "," 5,893,771 ", 0 ," 706,038 ",0, 0 ,0,0, 0 ," 6,712,520 "," 37,740 ",,0
Sherman, 0 ,0, 0 ,0," 9,925 ",0, 178 , 199 ," 46,611 ", 0 ," 39,000 ",0, 0 ,0,0, 0 ," 95,714 ", 199 ,,0
Simsbury," 2,555 ",0, 0 ,0," 28,478 ",0," 13,657 "," 12,604 "," 6,087,799 ", 0 ," 567,460 ",0," 20,731 ",0,0," 273,824 "," 6,720,680 "," 286,428 ",,0
Somers," 1,364,700 ",0, 0 ,0," 1,609,537 ",0," 11,126 "," 10,571 "," 5,929,453 "," 2,964,727 "," 141,697 ",0, 0 ,0,0, 0 ," 9,056,513 "," 2,975,298 ",,0
South Windsor, 78 ,0, 0 ,0," 54,351 ",0," 12,360 "," 9,956 "," 12,826,469 ", 0 ," 558,715 ",0, 0 ,0,0, 0 ," 13,451,973 "," 9,956 ",,0
Southbury," 171,469 ",0, 0 ,0," 37,696 ",0, 0 , 0 ," 3,458,266 ", 0 ," 404,731 ",0, 0 ,0,0, 0 ," 4,072,162 ", 0 ,,0
