Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018,Priority School District_FY 2017,Priority School District_FY 2018
Darien, 0 ,0, 0 ,0," 9,241 ",0, 40 , 116 ," 406,683 ", 0 ," 171,485 ",0, 0 ,0,0, 0 ," 587,449 ", 116 ,,0
Deep River, 0 ,0, 0 ,0," 17,346 ",0, 0 , 0 ," 1,675,092 ", 0 ," 93,525 ",0," 1,876 ",0,0, 0 ," 1,787,839 ", 0 ,,0
Derby, 663 ,0," 833,361 ",0," 243,222 ",0," 125,448 "," 126,334 "," 7,902,388 "," 7,902,388 "," 462,718 ",0," 132,817 ",0,0, 0 ," 9,700,617 "," 8,028,722 ",1059071.0,0
Durham, 123 ,0, 0 ,0," 20,996 ",0, 0 , 0 ," 3,895,303 ", 0 ," 150,019 ",0, 0 ,0,0, 0 ," 4,066,441 ", 0 ,,0
East Granby, 0 ,0, 0 ,0," 15,434 ",0," 1,546 "," 1,511 "," 1,439,845 ", 0 ," 106,222 ",0," 9,474 ",0,0, 0 ," 1,572,521 "," 1,511 ",,0
East Haddam," 8,423 ",0, 0 ,0," 27,015 ",0," 5,471 "," 5,604 "," 3,686,134 "," 368,613 "," 186,418 ",0, 0 ,0,0, 0 ," 3,913,461 "," 374,217 ",,0
East Hampton," 49,068 ",0, 0 ,0," 41,883 ",0," 16,980 "," 15,455 "," 7,538,993 "," 1,507,799 "," 263,149 ",0, 0 ,0,0, 0 ," 7,910,073 "," 1,523,254 ",,0
East Hartford," 555,245 ",0," 487,075 ",0," 294,020 ",0," 208,572 "," 217,830 "," 49,075,156 "," 49,075,156 "," 3,877,281 ",0," 205,669 ",0,0," 2,462,257 "," 54,703,018 "," 51,755,243 ",1233099.0,0
East Haven," 240,702 ",0, 0 ,0," 170,049 ",0," 469,823 "," 484,517 "," 19,595,415 "," 19,595,415 "," 593,493 ",0, 0 ,0,0, 0 ," 21,069,482 "," 20,079,932 ",,0
East Lyme," 862,360 ",0," 40,179 ",0," 320,180 ",0," 17,156 "," 15,971 "," 6,918,462 ", 0 ," 243,736 ",0, 0 ,0,0, 0 ," 8,402,073 "," 15,971 ",,0
East Windsor," 57,816 ",0, 0 ,0," 45,593 ",0," 16,217 "," 15,604 "," 5,669,122 "," 5,669,122 "," 232,457 ",0, 0 ,0,0, 0 ," 6,021,205 "," 5,684,726 ",,0
Eastford, 0 ,0, 0 ,0," 11,911 ",0," 1,795 "," 2,058 "," 1,091,881 "," 327,564 "," 23,060 ",0, 0 ,0,0, 0 ," 1,128,647 "," 329,622 ",,0
Easton, 410 ,0, 0 ,0," 10,545 ",0, 265 , 314 ," 177,907 ", 0 ," 155,216 ",0, 0 ,0,0, 0 ," 344,343 ", 314 ,,0
Ellington, 96 ,0, 0 ,0," 44,853 ",0," 14,829 "," 13,269 "," 9,684,435 "," 1,936,887 "," 321,722 ",0, 0 ,0,0, 0 ," 10,065,935 "," 1,950,156 ",,0
Enfield," 1,044,614 ",0," 25,375 ",0," 1,359,849 ",0," 96,152 "," 95,617 "," 28,585,010 "," 8,575,503 "," 911,974 ",0, 0 ,0,0, 0 ," 32,022,974 "," 8,671,120 ",,0
Essex, 78 ,0, 0 ,0," 12,520 ",0, 0 , 0 ," 105,052 ", 0 ," 74,572 ",0, 0 ,0,0, 0 ," 192,222 ", 0 ,,0
Fairfield, 137 ,0," 1,997,360 ",0," 277,695 ",0," 1,758 "," 1,572 "," 1,087,165 ", 0 ," 795,318 ",0, 0 ,0,0, 0 ," 4,159,433 "," 1,572 ",,0
Farmington," 3,134,814 ",0," 29,691 ",0," 29,796 ",0," 3,522 "," 3,747 "," 1,095,080 ", 0 ," 335,287 ",0, 0 ,0,0, 0 ," 4,628,190 "," 3,747 ",,0
Franklin," 5,944 ",0, 0 ,0," 15,379 ",0," 2,969 "," 2,966 "," 923,278 "," 184,656 "," 26,309 ",0, 0 ,0,0, 0 ," 973,879 "," 187,622 ",,0
Glastonbury, 0 ,0, 7 ,0," 41,629 ",0," 6,077 "," 5,665 "," 6,654,380 ", 0 ," 754,546 ",0, 0 ,0,0, 0 ," 7,456,639 "," 5,665 ",,0
Goshen, 408 ,0, 0 ,0," 10,521 ",0, 0 , 0 ," 82,025 ", 0 ," 30,286 ",0, 0 ,0,0, 0 ," 123,240 ", 0 ,,0
Granby, 50 ,0, 0 ,0," 23,972 ",0," 2,478 "," 2,406 "," 5,510,220 ", 0 ," 244,839 ",0, 0 ,0,0, 0 ," 5,781,559 "," 2,406 ",,0
Greenwich, 0 ,0, 0 ,0," 93,313 ",0, 0 , 0 ," 136,859 ", 0 ," 366,588 ",0, 0 ,0,0, 0 ," 596,760 ", 0 ,,0
Griswold," 17,108 ",0, 0 ,0," 86,837 ",0," 51,728 "," 50,755 "," 10,775,767 "," 6,465,460 "," 243,727 ",0, 0 ,0,0, 0 ," 11,175,167 "," 6,516,215 ",,0
Groton," 833,258 ",0," 37,634 ",0," 1,336,108 ",0," 105,903 "," 102,334 "," 25,040,045 "," 7,512,014 "," 433,177 ",0, 0 ,0,0, 0 ," 27,786,125 "," 7,614,348 ",,0
Guilford, 0 ,0, 0 ,0," 26,076 ",0," 8,416 "," 9,952 "," 2,740,394 ", 0 ," 456,863 ",0, 0 ,0,0, 0 ," 3,231,749 "," 9,952 ",,0
Haddam," 21,098 ",0, 0 ,0," 23,844 ",0, 0 , 0 ," 1,971,482 ", 0 ," 170,440 ",0, 0 ,0,0, 0 ," 2,186,864 ", 0 ,,0
Hamden," 708,944 ",0," 2,833,043 ",0," 896,135 ",0," 293,153 "," 289,696 "," 26,945,481 "," 26,945,481 "," 4,491,337 ",0," 593,967 ",0,0," 1,044,258 "," 36,762,060 "," 28,279,435 ",,0
Hampton," 20,874 ",0, 0 ,0," 13,963 ",0," 1,589 "," 1,584 "," 1,312,383 "," 393,715 "," 38,070 ",0, 0 ,0,0, 0 ," 1,386,879 "," 395,299 ",,0
Hartford," 13,560,353 ",0," 23,664,027 ",0," 6,263,314 ",0," 1,819,933 "," 1,909,449 "," 200,518,244 "," 200,518,244 "," 13,908,437 ",0," 11,883,205 ",0,0," 12,867,335 "," 271,617,513 "," 215,295,028 ",6175441.0,0
Hartland," 87,788 ",0, 0 ,0," 12,191 ",0," 1,869 "," 1,812 "," 1,327,652 "," 398,296 "," 27,964 ",0, 0 ,0,0, 0 ," 1,457,464 "," 400,108 ",,0
Harwinton, 0 ,0, 0 ,0," 18,629 ",0, 0 , 0 ," 2,708,774 ", 0 ," 113,987 ",0, 0 ,0,0, 0 ," 2,841,390 ", 0 ,,0
Hebron, 0 ,0, 0 ,0," 28,438 ",0, 0 , 0 ," 6,875,123 "," 687,512 "," 208,666 ",0, 0 ,0,0, 0 ," 7,112,227 "," 687,512 ",,0
Kent," 35,287 ",0, 0 ,0," 9,077 ",0, 0 , 0 ," 25,634 ", 0 ," 26,808 ",0, 0 ,0,0, 0 ," 96,806 ", 0 ,,0
Killingly," 179,430 ",0, 0 ,0," 145,447 ",0," 106,250 "," 105,609 "," 15,574,402 "," 15,574,402 "," 351,213 ",0," 44,593 ",0,0, 0 ," 16,401,335 "," 15,680,011 ",,0
Killingworth," 62,170 ",0, 0 ,0," 15,190 ",0, 0 , 0 ," 2,173,420 ", 0 ," 85,270 ",0, 0 ,0,0, 0 ," 2,336,050 ", 0 ,,0
Lebanon," 3,431 ",0, 0 ,0," 33,075 ",0," 7,880 "," 7,710 "," 5,410,404 "," 1,623,121 "," 149,163 ",0, 0 ,0,0, 0 ," 5,603,953 "," 1,630,831 ",,0
